,상호명,상권업종소분류명,경도,위도,법정동명
206019,수다영어학습관,학원-외국어/어학,126.889684487479,37.4537451754292,독산동
206223,메이븐랭귀지센터,학원-외국어/어학,126.97919590189801,37.565372401160296,을지로1가
206256,와이비엠이포유어학원YBME4U,학원-외국어/어학,126.988251889687,37.5695230684141,관철동
206280,YBM프리미어종로센터,학원-외국어/어학,126.988011270682,37.569737255991605,종로2가
206382,플러스어학원,학원-외국어/어학,127.045946239681,37.6576114633041,창동
206497,월스트리트잉글리쉬여의도센터,학원-외국어/어학,126.92457332308099,37.5225024956653,여의도동
206529,렉스영어,학원-외국어/어학,127.076662597243,37.5877910406097,면목동
206582,ELS학원,학원-외국어/어학,127.02979640236201,37.4996620034271,역삼동
206692,한건ENC영어학원,학원-외국어/어학,127.06878800921601,37.5727537989306,장안동
206728,윤선생영어교실,학원-외국어/어학,126.926303723839,37.5659303898187,연희동
206766,아이비주니어학원,학원-외국어/어학,127.076443425994,37.6220109199427,공릉동
206768,GNB영어전문학원,학원-외국어/어학,127.013410734313,37.557076332541,신당동
206918,강선생영어,학원-외국어/어학,126.87640010461,37.537038288471706,목동
206995,YBM시사영어사ECC,학원-외국어/어학,127.105216364301,37.5094301379565,송파동
207132,칸어학원,학원-외국어/어학,127.02229792931699,37.6347838837872,수유동
207190,잉글리쉬채널,학원-외국어/어학,127.025350024587,37.501535637197705,서초동
207206,진체크패스영어,학원-외국어/어학,126.991867289202,37.491027679538,방배동
207237,YBM시사영어사,학원-외국어/어학,127.091835437436,37.533692571163996,구의동
207251,YES영도어학원,학원-외국어/어학,127.05270730979099,37.4953606864046,도곡동
207262,푸른영어,학원-외국어/어학,127.07840340237301,37.53749007165071,자양동
207307,이튼스쿨영어전문학원,학원-외국어/어학,126.87181086675699,37.5232086397564,목동
207348,GES지구촌어학원,학원-외국어/어학,126.912046562891,37.476749763002296,신림동
207480,문단열의아이스펀지잉글리쉬,학원-외국어/어학,127.08726546095801,37.5038774341862,잠실동
207523,WOOYOUNGSENGLISHACADEMY,학원-외국어/어학,126.87853714619499,37.5363828248169,목동
207540,영어숲,학원-외국어/어학,127.128044650672,37.4897594842339,문정동
207613,잉글리쉬타운어학원,학원-외국어/어학,126.95350917847601,37.495947245932896,상도동
207619,월드인서울어학원,학원-외국어/어학,127.02837667487499,37.500127893710605,역삼동
207644,GNB영어전문학원,학원-외국어/어학,127.147376102747,37.4991905444602,마천동
207683,클리닉영어,학원-외국어/어학,126.90547957432301,37.5138212383383,영등포동
